,lineage,ncomph,ncompk,mdeg_l,dmdeg_l,mdeg_h,dmdeg_h,mcompmass_h,mcompmass_d,fdim0,cnumh,cnumk,area_l,area_h,circum_l,circum_h,circ0,circ1,asra0,asra1,line
39,/home/tjc54/datasets/SCC_YM/p1/4.2,0.0002385355629502837,479.1603072303448,0.5535050634801258,3274.4307207320676,1.2037474914782473,1927.5087032529032,990696.0404173625,10060266721.56232,-70.80713342183229,0.0004211549686636196,3.4188826632087723,727.1979272746241,755.5128526624854,131.89425850366678,127.362235746696,94.46143038652747,0.5807778063237773,-157.09640408485046,2.558663637631675,r
40,/home/tjc54/datasets/SCC_YM/p1/4.3,0.00024480180265696086,596.2810544507159,0.4302232443666324,2790.002701220097,1.1708958081877323,3135.377809348702,1120195.5101587127,9258724877.074322,-58.5957099506572,0.000355237393721984,3.6643588463434846,676.6822742809379,721.6660770395254,124.83938726385006,124.87988110740955,201.02001370477802,0.5752120783116222,-830.1603894318486,2.6901873020033715,r
41,/home/tjc54/datasets/SCC_YM/p1/4.4,0.00022681523895285536,532.0387937362316,0.4802310370400239,3022.353967602109,1.1602253028437333,2417.600158827566,1197731.556574144,8954350866.007359,-74.0782158321654,0.00033580185427357017,3.2735519993266475,866.9234420563837,953.786311560172,156.4601386556701,149.10414262886965,468.0019362578328,0.4259936067053287,-1259.3806471868104,3.0767168360274493,r
42,/home/tjc54/datasets/SCC_YM/p1/4.5,0.0002319612641706875,551.9667492954643,0.4595685842416425,2892.7311143893367,1.2528183870261402,3453.2673078866455,1082055.6351604988,8615940464.978298,-63.983842617793904,0.0005125978296367528,3.798989142692424,732.5296540032223,806.582619315179,133.30235651725837,134.95216431262855,222.58952066407326,0.54615465530348,-873.0608701174474,2.779184747527868,r
43,/home/tjc54/datasets/SCC_YM/p1/4.6,0.000231905188588455,478.54146050781554,0.5653329078465158,3480.7521910587975,1.190877358464763,1523.6034138871773,1077768.826361267,7941656991.081996,-75.97587069947777,0.0004247241991062265,3.433555741874361,726.8627991096897,866.8016944064982,130.9016301248767,138.77048670401905,248.02632346730914,0.5418207838454135,-925.8388623531564,2.6850708444790716,r
44,/home/tjc54/datasets/SCC_YM/p1/5.1,0.00023237966553858475,556.5643966455896,0.4693134703640645,2993.312202200883,1.1955514168163281,2816.591369417225,1322598.7560498472,8616474534.173676,-65.02798895990006,0.00031968371840223356,3.5451164564060837,889.4123091152549,898.3292571734871,160.93434776753358,138.57788772364975,47.80625152666449,0.5139083207958,64.32934394512301,2.8704944558400287,r
45,/home/tjc54/datasets/SCC_YM/p1/5.2,0.00021279633803659393,467.2023156254434,0.5858433194768509,3678.0047963999964,1.5330100337113761,3899.328917476205,2011294.5745004974,15149087081.837275,-60.56116818537216,0.0003258413712300374,4.0164490782450155,749.4842893652028,783.6247824359012,134.21997797359592,130.01016929354546,185.48790860179756,0.5681885508357961,-508.2495881970667,2.730089216781546,r
46,/home/tjc54/datasets/SCC_YM/p1/5.3,0.0001856736885782438,466.2874811986005,0.5713118811522802,3881.711693865188,1.5729457070825303,4131.3589135768125,1400115.847691454,8444875329.048729,-66.62031060323389,0.0006124281971643215,4.980799738744408,806.7515954391546,1291.896110503499,145.08334643895472,185.26991555448203,464.9858168213011,0.47527908688453796,-1786.228728950431,3.174960060175382,r
47,/home/tjc54/datasets/SCC_YM/p1/5.5,0.00024263897825555451,526.1008205396305,0.4807936675855497,2892.2042814931124,1.2196839478249226,3018.9179604218707,1032057.8060819707,8822604568.840073,-57.00518504355832,8.268426962603294e-05,3.123523918608425,798.4272370182437,668.9927748133593,148.8182477460836,121.7379602438954,278.73553287945896,0.49287252220862177,-758.6097177019219,2.9179011311104133,r
48,/home/tjc54/datasets/SCC_YM/p1/5.6,0.00023635936511413105,468.9509126356031,0.5211566777346717,3364.051342770295,1.229950538569948,2306.2995439119145,1129295.9452802325,9760807584.681864,-61.96607870308613,0.0004409977978642529,3.6125313062290143,1018.6700858062345,764.4539982438068,165.83915150894074,131.54193746257707,237.96845773090433,0.4974920539347502,-503.84559171976116,2.7959789030748916,r
49,/home/tjc54/datasets/SCC_YM/p1/6.1,0.00023200262329973128,595.3788545758459,0.44188007939785556,2085.251507267492,0.7264169732836927,191.0436438192046,2672166.8725229064,17584779977.653,-71.52974059864235,0.00013025813518455665,3.1438477362605406,846.5332648429811,-1040.595135246553,139.44477276102532,-179.97445509939863,132.11207856823782,0.5872940595424099,-1277.676359428854,2.6881719908843476,r
50,/home/tjc54/datasets/SCC_YM/p1/6.3,0.00022472782971064243,484.2764606753529,0.5384284346560605,3162.879875136132,1.2163031658286463,2260.1179742445524,1275573.1613512554,9979725658.055595,-81.74648170258521,0.00035107949310661383,3.2209724441496963,916.6366864678757,863.8254813504518,157.30507454334867,134.55015943527266,175.48297444570474,0.5331227364698079,-712.8743333306697,2.7002064596180255,r
51,/home/tjc54/datasets/SCC_YM/p1/6.4,0.00023502738492420808,465.3540727888949,0.523316049119975,3421.2773550467637,1.181726543451472,1846.0065996052117,611583.7625917149,2851089899.6618295,-74.275429845179,0.000577992618498007,3.66534560602123,945.7481098710693,807.0840337585058,162.42509036291943,130.09011002678773,439.773820636689,0.4523042579863525,-1426.6719878806903,2.9635477813411994,r
52,/home/tjc54/datasets/SCC_YM/p1/6.5,0.00021087197276572345,462.0969669162066,0.5428814834074769,3753.708936298161,1.3480498508881649,2687.638003547342,1034232.8734455649,7288328881.183653,-64.96987520325634,0.0007402276683058729,4.552146178947426,910.7015118199716,736.9498154823833,158.8424549132974,127.45098922717406,261.98211407078776,0.48213975435402956,1.9008194877622768,2.8640393255674446,r
53,/home/tjc54/datasets/SCC_YM/p1/7.2,0.00026903437683405514,575.9896403333115,0.4737963438314975,2878.7865793922992,1.167120064081002,2667.8031826037354,731914.6470031585,5867615855.586231,-39.61054679651745,0.0007120827375006524,4.246685842935187,637.1608479195364,523.5828743342702,120.78707882229614,106.26036977966311,6.1502540933659775,0.6350066047245433,467.68333517567106,2.3480849910980077,r
54,/home/tjc54/datasets/SCC_YM/p1/7.4,0.0002525531684359909,515.5014681730378,0.48705226323842277,3162.956470682422,1.1925021130047462,2480.642327448163,1363343.177458233,11719185595.9137,-66.8744682679386,0.000419310310368255,3.8885948884547386,849.0203000414054,751.2975355008596,157.20369369338175,129.67891756880348,320.0702960207395,0.4631322613030157,-1285.7804825157507,3.1618213636384156,r
